Grand Prix,Winner,Car,Laps,Time,year
Bahrain,Charles LeclercLEC,Ferrari,57,1:37:33.584,2022
Saudi Arabia,Max VerstappenVER,Red Bull Racing RBPT,50,1:24:19.293,2022
Australia,Charles LeclercLEC,Ferrari,58,1:27:46.548,2022
Emilia-Romagna,Max VerstappenVER,Red Bull Racing RBPT,63,1:32:07.986,2022
Miami,Max VerstappenVER,Red Bull Racing RBPT,57,1:34:24.258,2022
Spain,Max VerstappenVER,Red Bull Racing RBPT,66,1:37:20.475,2022
Monaco,Sergio PerezPER,Red Bull Racing RBPT,64,1:56:30.265,2022
Azerbaijan,Max VerstappenVER,Red Bull Racing RBPT,51,1:34:05.941,2022
Canada,Max VerstappenVER,Red Bull Racing RBPT,70,1:36:21.757,2022
Great Britain,Carlos SainzSAI,Ferrari,52,2:17:50.311,2022
Austria,Charles LeclercLEC,Ferrari,71,1:24:24.312,2022
France,Max VerstappenVER,Red Bull Racing RBPT,53,1:30:02.112,2022
Hungary,Max VerstappenVER,Red Bull Racing RBPT,70,1:39:35.912,2022
Belgium,Max VerstappenVER,Red Bull Racing RBPT,44,1:25:52.894,2022
Netherlands,Max VerstappenVER,Red Bull Racing RBPT,72,1:36:42.773,2022
Italy,Max VerstappenVER,Red Bull Racing RBPT,53,1:20:27.511,2022
Singapore,Sergio PerezPER,Red Bull Racing RBPT,59,2:02:20.238,2022
Japan,Max VerstappenVER,Red Bull Racing RBPT,28,3:01:44.004,2022
United States,Max VerstappenVER,Red Bull Racing RBPT,56,1:42:11.687,2022
Mexico,Max VerstappenVER,Red Bull Racing RBPT,71,1:38:36.729,2022
Brazil,George RussellRUS,Mercedes,71,1:38:34.044,2022
Abu Dhabi,Max VerstappenVER,Red Bull Racing RBPT,58,1:27:45.914,2022
Bahrain,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:33:56.736,2023
Saudi Arabia,Sergio PerezPER,Red Bull Racing Honda RBPT,50,1:21:14.894,2023
Australia,Max VerstappenVER,Red Bull Racing Honda RBPT,58,2:32:38.371,2023
Azerbaijan,Sergio PerezPER,Red Bull Racing Honda RBPT,51,1:32:42.436,2023
Miami,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:27:38.241,2023
Monaco,Max VerstappenVER,Red Bull Racing Honda RBPT,78,1:48:51.980,2023
Spain,Max VerstappenVER,Red Bull Racing Honda RBPT,66,1:27:57.940,2023
Canada,Max VerstappenVER,Red Bull Racing Honda RBPT,70,1:33:58.348,2023
Austria,Max VerstappenVER,Red Bull Racing Honda RBPT,71,1:25:33.607,2023
Great Britain,Max VerstappenVER,Red Bull Racing Honda RBPT,52,1:25:16.938,2023
Hungary,Max VerstappenVER,Red Bull Racing Honda RBPT,70,1:38:08.634,2023
Belgium,Max VerstappenVER,Red Bull Racing Honda RBPT,44,1:22:30.450,2023
Netherlands,Max VerstappenVER,Red Bull Racing Honda RBPT,72,2:24:04.411,2023
Italy,Max VerstappenVER,Red Bull Racing Honda RBPT,51,1:13:41.143,2023
Singapore,Carlos SainzSAI,Ferrari,62,1:46:37.418,2023
Japan,Max VerstappenVER,Red Bull Racing Honda RBPT,53,1:30:58.421,2023
Qatar,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:27:39.168,2023
United States,Max VerstappenVER,Red Bull Racing Honda RBPT,56,1:35:21.362,2023
Mexico,Max VerstappenVER,Red Bull Racing Honda RBPT,71,2:02:30.814,2023
Brazil,Max VerstappenVER,Red Bull Racing Honda RBPT,71,1:56:48.894,2023
Las Vegas,Max VerstappenVER,Red Bull Racing Honda RBPT,50,1:29:08.289,2023
Abu Dhabi,Max VerstappenVER,Red Bull Racing Honda RBPT,58,1:27:02.624,2023
Bahrain,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:31:44.742,2024
Saudi Arabia,Max VerstappenVER,Red Bull Racing Honda RBPT,50,1:20:43.273,2024
Australia,Carlos SainzSAI,Ferrari,58,1:20:26.843,2024
Japan,Max VerstappenVER,Red Bull Racing Honda RBPT,53,1:54:23.566,2024
China,Max VerstappenVER,Red Bull Racing Honda RBPT,56,1:40:52.554,2024
Miami,Lando NorrisNOR,McLaren Mercedes,57,1:30:49.876,2024
Emilia-Romagna,Max VerstappenVER,Red Bull Racing Honda RBPT,63,1:25:25.252,2024
Monaco,Charles LeclercLEC,Ferrari,78,2:23:15.554,2024
Canada,Max VerstappenVER,Red Bull Racing Honda RBPT,70,1:45:47.927,2024
Spain,Max VerstappenVER,Red Bull Racing Honda RBPT,66,1:28:20.227,2024
Austria,George RussellRUS,Mercedes,71,1:24:22.798,2024
Great Britain,Lewis HamiltonHAM,Mercedes,52,1:22:27.059,2024
Hungary,Oscar PiastriPIA,McLaren Mercedes,70,1:38:01.989,2024
Belgium,Lewis HamiltonHAM,Mercedes,44,1:19:57.566,2024
Netherlands,Lando NorrisNOR,McLaren Mercedes,72,1:30:45.519,2024
Italy,Charles LeclercLEC,Ferrari,53,1:14:40.727,2024
Azerbaijan,Oscar PiastriPIA,McLaren Mercedes,51,1:32:58.007,2024
Singapore,Lando NorrisNOR,McLaren Mercedes,62,1:40:52.571,2024
